iter	Passed	Remaining
0	151	75711
1	185	46219
2	196	32477
3	215	26682
4	216	21456
5	217	17901
6	219	15456
7	233	14373
8	239	13065
9	262	12842
10	263	11718
11	264	10772
12	278	10424
13	280	9727
14	286	9255
15	287	8681
16	302	8601
17	304	8155
18	318	8068
19	319	7662
20	333	7603
21	342	7431
22	346	7190
23	355	7060
24	370	7033
25	386	7043
26	389	6824
27	392	6621
28	406	6598
29	418	6555
30	431	6532
31	434	6354
32	447	6330
33	448	6141
34	461	6132
35	463	5967
36	476	5967
37	488	5943
38	502	5945
39	515	5924
40	527	5901
41	542	5913
42	553	5884
43	565	5856
44	576	5825
45	586	5791
46	589	5684
47	603	5679
48	604	5560
49	616	5550
50	626	5518
51	637	5494
52	649	5480
53	662	5468
54	664	5373
55	664	5272
56	665	5173
57	677	5161
58	688	5147
59	689	5055
60	701	5048
61	713	5041
62	714	4954
63	716	4877
64	727	4871
65	738	4854
66	750	4853
67	764	4857
68	765	4782
69	777	4777
70	789	4772
71	800	4760
72	812	4755
73	824	4748
74	835	4734
75	847	4729
76	848	4661
77	869	4703
78	886	4723
79	900	4725
80	902	4670
81	915	4668
82	930	4672
83	942	4667
84	953	4655
85	965	4649
86	967	4593
87	979	4586
88	991	4576
89	1000	4559
90	1012	4550
91	1023	4538
92	1033	4522
93	1044	4511
94	1055	4499
95	1056	4445
96	1066	4429
97	1079	4428
98	1091	4419
99	1101	4406
100	1113	4398
101	1115	4352
102	1134	4373
103	1147	4370
104	1149	4324
105	1160	4314
106	1171	4302
107	1184	4298
108	1196	4292
109	1206	4278
110	1218	4270
111	1230	4262
112	1241	4253
113	1242	4207
114	1254	4199
115	1267	4197
116	1280	4192
117	1281	4148
118	1282	4106
119	1285	4071
120	1297	4065
121	1310	4059
122	1311	4020
123	1323	4013
124	1325	3977
125	1336	3967
126	1350	3967
127	1366	3971
128	1381	3971
129	1392	3964
130	1403	3952
131	1415	3945
132	1427	3938
133	1437	3926
134	1439	3892
135	1442	3860
136	1452	3848
137	1465	3843
138	1477	3836
139	1488	3827
140	1498	3816
141	1510	3808
142	1521	3797
143	1532	3788
144	1543	3778
145	1554	3769
146	1560	3747
147	1571	3737
148	1584	3732
149	1597	3726
150	1598	3695
151	1610	3687
152	1621	3677
153	1631	3665
154	1642	3656
155	1656	3652
156	1668	3645
157	1680	3638
158	1693	3631
159	1707	3628
160	1720	3622
161	1733	3617
162	1746	3610
163	1748	3581
